WKT,KULTHAT_ID,NEV
"MULTIPOLYGON (((430958.6 177560.3,431661.0 177631.1,431661.0 177631.1,431665.0 177631.8,432401.1 177758.3,432543.8 177115.6,432461.7 176689.4,432425.2 176373.4,432499.2 176102.2,432870.5 176106.1,433211.6 176120.0,433743.5 176153.4,433743.5 176153.4,433644.5 175290.8,433456.2 174684.3,433309.7 174443.9,433228.1 174128.1,433296.8 173781.6,433245.9 173621.3,432954.4 173317.6,432954.4 173317.6,432073.6 173166.4,431742.9 172903.0,431411.1 172164.2,431146.9 172125.2,430685.2 172390.3,430289.2 172483.6,429998.4 172352.2,429587.9 171864.5,428544.9 171998.9,428181.2 172215.6,427396.5 172252.4,426738.1 173125.5,426554.9 173852.2,427532.9 174206.6,428154.5 174588.2,429227.5 176051.8,430379.7 177501.9,430958.6 177560.3)))",1,Felsõszölnök
"MULTIPOLYGON (((431661.0 177631.1,432219.4 179307.1,432813.6 180771.0,433227.7 181378.3,433941.0 181455.9,435089.6 181308.1,435089.6 181308.1,434773.1 179898.1,434654.7 179211.1,434537.3 178749.9,434501.4 178564.4,434404.5 178203.4,434463.4 177897.2,434391.1 177415.7,434465.3 177169.6,434322.8 176703.5,434261.4 176437.8,434215.3 176217.1,434215.3 176217.1,434211.3 176216.6,433747.5 176154.0,433743.5 176153.4,433743.5 176153.4,433211.6 176120.0,432870.5 176106.1,432499.2 176102.2,432425.2 176373.4,432461.7 176689.4,432543.8 177115.6,432401.1 177758.3,431665.0 177631.8,431661.0 177631.1)))",2,Alsószölnök
"MULTIPOLYGON (((432954.4 173317.6,433245.9 173621.3,433296.8 173781.6,433228.1 174128.1,433309.7 174443.9,433456.2 174684.3,433644.5 175290.8,433743.5 176153.4,433743.5 176153.4,433747.5 176154.0,434211.3 176216.6,434215.3 176217.1,434215.3 176217.1,434404.7 175935.6,434801.5 176039.6,434920.1 175642.9,434784.1 175507.9,434884.3 175477.4,435085.1 175506.9,435410.2 175295.1,435640.4 175168.9,435920.8 175042.6,435920.8 175042.6,435931.9 174069.1,435931.9 174069.1,435390.3 173991.0,434966.6 173516.5,434213.5 173333.3,433289.1 173375.0,432954.4 173317.6)))",3,Kétvölgy
"MULTIPOLYGON (((434215.3 176217.1,434261.4 176437.8,434322.8 176703.5,434465.3 177169.6,434391.1 177415.7,434463.4 177897.2,434404.5 178203.4,434501.4 178564.4,434537.3 178749.9,434654.7 179211.1,434773.1 179898.1,435089.6 181308.1,435089.6 181308.1,435825.6 181396.1,435825.6 181396.1,435815.9 180918.3,436024.8 180516.2,436189.0 180204.6,436272.8 179853.1,436325.6 179316.1,436534.7 178954.2,436709.6 178793.1,436789.5 178717.6,436758.3 178456.7,437220.8 178696.1,437426.9 178785.7,437490.8 178494.5,437584.7 178168.1,437584.7 178168.1,437580.7 178169.2,437098.7 178305.1,437108.1 178139.5,437186.9 177818.2,436915.0 177583.2,436738.4 177332.9,436441.3 177083.0,436364.8 176782.2,436388.3 176420.9,436405.5 175768.6,436333 175247,435924.8 175044.6,435920.8 175042.6,435920.8 175042.6,435640.4 175168.9,435410.2 175295.1,435085.1 175506.9,434884.3 175477.4,434784.1 175507.9,434920.1 175642.9,434801.5 176039.6,434404.7 175935.6,434215.3 176217.1)))",4,Szakonyfalu
"MULTIPOLYGON (((435825.6 181396.1,436226.2 181675.4,436794.5 181872.2,436857.7 182158.9,436887.1 182311.8,436704.4 182928.9,437601.9 183859.9,438212.1 183902.8,439229.6 184151.5,439276.4 185910.6,439805.1 187597.1,440416.2 189180.5,440785.7 189060.8,441128.0 188584.6,441297.2 187448.5,442155.8 187539.0,443028.1 187867.3,444347.1 187098.3,444347.1 187098.3,443782.8 186913.5,443581.1 186683.4,443539.9 186422.6,444346.3 186154.1,444028.3 185698.5,443906.3 185337.7,443809.3 184926.6,443677.1 184530.6,443610.7 184254.9,443635.1 184109.3,443468.8 183919.2,443563.2 183718.2,444024.7 183711.7,444024.7 183711.7,443765.5 182929.8,443624.0 182709.5,442906.6 182306.9,443001.3 182117.3,443113.2 181737.8,443015.6 181216.3,443004.9 181065.8,443083.5 180679.2,442800.5 180198.4,442387.7 179863.6,442285.8 179512.7,442609.8 179020.0,442813.5 178582.8,443460.8 178625.9,443460.8 178625.9,443992.4 178594.0,444333.9 178683.3,444728.3 178250.5,444882.5 177949.0,445021.3 177572.2,444558.6 177297.7,444447.9 177207.8,444883.4 176990.6,445007.3 176654.1,445086.4 176387.9,445086.4 176387.9,445084.3 176383.9,444995.4 176212.6,444779.3 176138.0,444663.2 175972.8,444572.1 175767.4,444556.3 175596.9,444575.2 175330.9,444759.8 175094.5,444417.5 174824.6,444837.5 174512.2,444390.3 174348.1,444390.3 174348.1,444114.7 174419.2,443789.5 174600.9,443509.1 174722.2,443304.2 174903.5,443014.8 175260.6,442563.6 175327.3,442327.8 175308.0,441916.3 175279.2,441414.5 175235.7,440877.4 175152.1,440544.1 174890.4,440540.1 174887.3,440540.1 174887.3,440295.4 175133.9,440190.6 175259.7,439836.7 175767.6,439442.2 176185.3,439442.2 176185.3,439578.0 176275.2,439714.2 176450.3,439770.8 176766.2,440007.3 176951.1,440540.0 177170.2,440862.3 177455.1,441170.0 177855.5,441140.5 177986.1,440700.5 178313.6,440599.8 178223.6,440465.2 178419.7,440215 178556,439834.8 178813.1,439496.5 179456.4,439435.2 179190.7,439227.8 178790.0,438784.2 178309.7,438186.4 178100.9,437905.3 178051.7,437584.7 178168.1,437584.7 178168.1,437490.8 178494.5,437426.9 178785.7,437220.8 178696.1,436758.3 178456.7,436789.5 178717.6,436709.6 178793.1,436534.7 178954.2,436325.6 179316.1,436272.8 179853.1,436189.0 180204.6,436024.8 180516.2,435815.9 180918.3,435825.6 181396.1)))",5,Szentgotthárd
"MULTIPOLYGON (((435920.8 175042.6,435924.8 175044.6,436333 175247,436405.5 175768.6,436388.3 176420.9,436364.8 176782.2,436441.3 177083.0,436738.4 177332.9,436915.0 177583.2,437186.9 177818.2,437108.1 178139.5,437098.7 178305.1,437580.7 178169.2,437584.7 178168.1,437584.7 178168.1,437905.3 178051.7,438186.4 178100.9,438784.2 178309.7,439227.8 178790.0,439435.2 179190.7,439496.5 179456.4,439834.8 178813.1,440215 178556,440465.2 178419.7,440599.8 178223.6,440700.5 178313.6,441140.5 177986.1,441170.0 177855.5,440862.3 177455.1,440540.0 177170.2,440007.3 176951.1,439770.8 176766.2,439714.2 176450.3,439578.0 176275.2,439442.2 176185.3,439442.2 176185.3,439441.4 176181.3,439380.6 175874.4,438984.0 175785.4,438823.8 175871.2,438613.1 175866.8,438456.5 175621.5,438299.1 175170.4,437470.6 174997.5,437227.1 174361.1,436820.0 174196.8,436512.6 173882.9,436512.6 173882.9,435931.9 174069.1,435931.9 174069.1,435920.8 175042.6)))",6,Apátistvánfalva
"MULTIPOLYGON (((436512.6 173882.9,436820.0 174196.8,437227.1 174361.1,437470.6 174997.5,438299.1 175170.4,438456.5 175621.5,438613.1 175866.8,438823.8 175871.2,438984.0 175785.4,439380.6 175874.4,439441.4 176181.3,439442.2 176185.3,439442.2 176185.3,439836.7 175767.6,440190.6 175259.7,440295.4 175133.9,440540.1 174887.3,440540.1 174887.3,440487.1 174215.1,440320.1 173894.5,439988.8 173535.8,439985.1 173531.8,439985.1 173531.8,438136.3 173549.1,436512.6 173882.9)))",7,Orfalu
"MULTIPOLYGON (((439985.1 173531.8,439988.8 173535.8,440320.1 173894.5,440487.1 174215.1,440540.1 174887.3,440540.1 174887.3,440544.1 174890.4,440877.4 175152.1,441414.5 175235.7,441916.3 175279.2,442327.8 175308.0,442563.6 175327.3,443014.8 175260.6,443304.2 174903.5,443509.1 174722.2,443789.5 174600.9,444114.7 174419.2,444390.3 174348.1,444390.3 174348.1,444393.9 174344.1,444674.9 174031.1,445125.7 173874.1,445593.0 174073.3,445844.9 174323.3,446085.9 174367.7,446607.7 174396.1,446823.6 174435.6,446923.9 174420.2,447134.8 174242.3,447138.8 174238.9,447138.8 174238.9,447188.5 174133.4,447106.7 173777.4,446753.0 173201.5,446792.9 173131.2,446962.4 172894.8,447126.4 172538.0,447280.2 172161.2,447414.0 171764.4,447477.6 171403.0,447154.8 171002.6,446948.5 170842.7,447126.8 170320.3,446870.1 170115.5,446448.5 170081.7,445976.6 169997.9,445497.7 169676.0,445493.7 169673.3,445493.7 169673.3,445328.2 169699.0,444892.0 169735.5,444229.3 169811.3,444229.3 169811.3,443530.8 170420.4,442830.4 170223.8,441948.8 171665.3,441275.1 171627.2,440800.5 171971.6,440485.4 172804.3,440328.1 173346.1,440328.1 173346.1,439985.1 173531.8)))",8,Szalafõ
"MULTIPOLYGON (((441988.7 160000.0,441593.5 160401.0,442306.6 162246.8,442306.6 162246.8,442536.6 162842.1,442536.6 162842.1,442540.6 162841.7,443336.8 162776.4,443828.6 162830.0,444209.9 162843.8,444611.2 162852.5,445220.9 162673.9,445224.9 162672.7,445224.9 162672.7,445284.3 162466.8,445328.0 162105.4,445417.7 161949.5,445708 161808,445994.2 161862.1,446220.8 162092.2,446497.9 162397.2,446739.3 162556.9,447065.6 162621.0,447270.9 162530.0,447601.8 162483.6,447977.7 162412.0,448262.9 162230.4,448482.2 161873.4,448225.0 161533.1,448225.0 161533.1,447667.9 161444.7,447437.5 161545.9,447326.5 161380.7,447090.2 161246.1,446914.4 161171.5,446912.7 160750.0,446686.3 160590.2,446686.3 160590.2,446684.1 160594.2,446484.1 160960.0,446312.9 160800.0,446106.6 160660.1,445850.2 160530.5,445659.1 160410.7,445618.0 160195.1,445526.5 159924.5,445243.8 159493.9,443957.6 159187.6,444220.7 158811.4,444140.8 158483.9,443358.6 157674.7,443357.7 157673.7,443357.7 157673.7,441988.7 160000.0)))",9,Magyarszombatfa
"MULTIPOLYGON (((442536.6 162842.1,441269.0 162950.5,441160.7 163372.0,441129.4 163652.1,441353.1 165103.0,441763.2 165432.2,443520.2 165679.3,443520.2 165679.3,443896.2 165679.6,444428 165713,445014.3 165560.6,445424.7 165348.6,445855.3 165161.5,446020.2 165010.5,446139.3 164724.1,446199.0 164603.5,446252.4 164186.9,446542.7 164055.5,446375.8 163054.0,446375.1 163050.0,446375.1 163050.0,445772.7 162911.6,445501.9 162942.7,445271.5 163018.8,445224.9 162672.7,445224.9 162672.7,445220.9 162673.9,444611.2 162852.5,444209.9 162843.8,443828.6 162830.0,443336.8 162776.4,442540.6 162841.7,442536.6 162842.1)))",10,Kercaszomor
