WKT,TELEPULESE,MEGYE_NEV,TELNEV,IR_SZAM,KERULET,CIM,POLGM_NEV,POLGMBEO,TEL,FAX,TELEX,JEGYZONEV,JEGYZOBEO,TEL_STATUS,KSH_KOD
"POINT (610046.8 187639.0)",1,FEJÉR MEGYE,Aba,8127,,Rákóczi u. 12.,KOSSA LAJOS,POLGÅRMESTER,(22)360-002,(22)360-002,,Szabóné Balogh Bernadett,jegyzô,község,17376
"POINT (577946.1 89280.8)",2,BARANYA MEGYE,Abaliget,7678,,Kossuth L u. 87.,DR. TARAI LAJOS,POLGÅRMESTER,(72)378-445,,,Dr. Antlfinger István,jegyzô,község,12548
"POINT (721963.7 273880.3)",3,HEVES MEGYE,Abasár,3261,,Fô tér 1.,JUHÅSZ BÉLA,POLGÅRMESTER,(37)360-011,,,Nagy Hilda,jegyzô,község,24554
"POINT (812129.2 331508.2)",4,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújalpár,3882,,Vöröscsillag u. 11.,RÅCZ JÅNOSNÉ,POLGÅRMESTER,nincs adat,,,,,község,15662
"POINT (809795.6 331138.3)",5,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújkér,3882,,Rákóczi u. 26.,PALKò JòZSEF,POLGÅRMESTER,Abaújkér 221,,,,,község,26718
"POINT (791113.0 341953.5)",6,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújlak,3815,,Fô u. 82.,HOBLYÅK ALBERTNÉ,POLGÅRMESTER,Gadna 1,,,,,község,02820
"POINT (808664.6 328230.8)",7,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújszántó,3881,,Béke u. 51.,SòHAJDA SÅNDOR,POLGÅRMESTER,19,,,Kottner Erzsébet,jegyzô,község,03595
"POINT (792853.4 338292.6)",8,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújszolnok,3809,,Béke u. 4.,BÅKI FERENC,POLGÅRMESTER,Selyeb 2,,,,,község,26338
"POINT (817486.0 356056.1)",9,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújvár,3898,,Petôfi u. 4.,SIVÅK TAMÅS,POLGÅRMESTER,(46)388-082,,,Szabóné Fehér Mária,körjegyzô,község,02273
"POINT (767214.3 237868.5)",10,JÁSZ-NAGYKUN-SZOLNOK MEGYE,Abádszalók,5241,,Deák Ferenc út 12.,BORDÅS IMRE,POLGÅRMESTER,(59)355-144,(59)355-144,,Marek György,jegyzô,község,12441
