TARS_ROV_NEV;TARS_HOSZ_NEV;CIM_EGYBEN;TARS_TIPUS_MEGNEV;TARS_TIPUS_KOD;ADOSZAM;GAZD_FORM;GAZD_FORM_KOD;CEGALL;CEGALL_KOD;NEMGAZD_AG_MEGNEV;NEMGAZD_AG_KOD;NEMGAZD_AGAZAT_MEGNEV;NEMGAZD_AGAZAT_KOD;NEMGAZD_SZAKAGAZAT_MEGNEV;NEMGAZD_SZAKAGAZAT_KOD;JEGYZ_TOKE_ERT_HUF ;ORSZAG;ORSZAG_KOD;REGIO;REGIO_KOD;MEGYE;MEGYE_KOD ;TELEPULES;TELEPULES_KOD;ASZ_EVE
MAGGO Rt. f.a.;MAGGO Termelő Részvénytársaság f.a.;Ismeretlen;Gazdasági Társaság;1;99990004-0-00 ;Részvénytársaság;15;Felszámolás alatt;1;Feldolgozóipar;C;Gép, gépi berendezés gyártása;28;M.n.s. egyéb általános rendeltetésű gép gyártása;2829;667299000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
Cluj Fejér Megyei International Turism SRL;Cluj Fejér Megyei International Turism SRL;400600 Cluj-Napoca (Kolozsvár) 1989 Decembrie 21. 58.;Gazdasági Társaság;1;99990001-0-00 ;SRL;16;Működő;4;Szálláshely-szolgáltatás, vendéglátás;I;Szálláshely-szolgáltatás;55;Üdülési, egyéb átmeneti szálláshely-szolgáltatás;5520;17674.00;Románia;RO;Egyéb;8;Egyéb;21;Kolozsvár;3273;2017
Latorcai 2009 s.r.o.;Latorcai 2009 s.r.o.;943 57 Kamenín (Kéménd) Kamenín utca 57;Gazdasági Társaság;1;99990003-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Speciális szaképítés;43;Egyéb befejező építés m.n.s.;4339;1486150.00;Szlovákia;SK;Egyéb;8;Egyéb;21;Kéménd;3386;2014
SC SZABOLCS-HAR SRL;SC SZABOLCS-HAR SRL;530130 Miercurea Ciuc (Csíkszereda), Str. Kossuth Lajos u. 21.;Gazdasági Társaság;1;99990005-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;5114911.00;Románia;RO;Egyéb;8;Egyéb;21;Csíkszereda;3321;2014
SC SZABOLCS-HAR SRL;SC SZABOLCS-HAR SRL;530130 Miercurea Ciuc (Csíkszereda), Str. Kossuth Lajos u. 21.;Gazdasági Társaság;1;99990005-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;5114911.00;Románia;RO;Egyéb;8;Egyéb;21;Csíkszereda;3321;2015
Cluj Fejér Megyei International Turism SRL;Cluj Fejér Megyei International Turism SRL;400600 Cluj-Napoca (Kolozsvár) 1989 Decembrie 21. 58.;Gazdasági Társaság;1;99990001-0-00 ;SRL;16;Működő;4;Szálláshely-szolgáltatás, vendéglátás;I;Szálláshely-szolgáltatás;55;Üdülési, egyéb átmeneti szálláshely-szolgáltatás;5520;17674.00;Románia;RO;Egyéb;8;Egyéb;21;Kolozsvár;3273;2014
Latorcai 2009 s.r.o.;Latorcai 2009 s.r.o.;943 57 Kamenín (Kéménd) Kamenín utca 57;Gazdasági Társaság;1;99990003-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Speciális szaképítés;43;Egyéb befejező építés m.n.s.;4339;1486150.00;Szlovákia;SK;Egyéb;8;Egyéb;21;Kéménd;3386;2015
Latorcai 2009 s.r.o.;Latorcai 2009 s.r.o.;943 57 Kamenín (Kéménd) Kamenín utca 57;Gazdasági Társaság;1;99990003-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Speciális szaképítés;43;Egyéb befejező építés m.n.s.;4339;1486150.00;Szlovákia;SK;Egyéb;8;Egyéb;21;Kéménd;3386;2016
Latorcai 2009 s.r.o.;Latorcai 2009 s.r.o.;943 57 Kamenín (Kéménd) Kamenín utca 57;Gazdasági Társaság;1;99990003-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Motorkerékpár, -alkatrész kereskedelme, javítása;4540;1486150.00;Szlovákia;SK;Egyéb;8;Egyéb;21;Kéménd;3386;2017
MAGGO Rt. f.a.;MAGGO Termelő Részvénytársaság f.a.;Ismeretlen;Gazdasági Társaság;1;99990004-0-00 ;Részvénytársaság;15;Felszámolás alatt;1;Feldolgozóipar;C;Gép, gépi berendezés gyártása;28;M.n.s. egyéb általános rendeltetésű gép gyártása;2829;667299000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
SC SZABOLCS-HAR SRL;SC SZABOLCS-HAR SRL;530130 Miercurea Ciuc (Csíkszereda), Str. Kossuth Lajos u. 21.;Gazdasági Társaság;1;99990005-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;5114911.00;Románia;RO;Egyéb;8;Egyéb;21;Csíkszereda;3321;2016
