TARS_ROV_NEV	TARS_HOSZ_NEV	CÍM_EGYBEN	TARS_TIPUS_MEGNEV	TARS_TIPUS_KOD	ADOSZAM	GAZD_FORM	GAZD_FORM_KOD	CEG_ALL	CEG_ALL_KOD	NEMGAZD_AG_MEGNEV	NEMGAZD_AG_KOD	NEMGAZD_AGAZAT_MEGNEV	NEMGAZD_AGAZAT_KOD	NEMGAZD_SZAKAGAZAT_MEGNEV	NEMGAZD_SZAKAGAZAT_KOD	JEGYZ_TOKE_ERT_HUF	ORSZAG	ORSZAG_KOD	REGIO	REGIO_KOD	MEGYE	MEGYE_KOD	TELEPULES	TELEPULES_KOD	ASZ_EVE
ANNAMAJORI KFT.	ANNAMAJORI MEZÕGAZDASÁGI ÉS KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2471 Baracska Annamajor 1.	Gazdasági Társaság	1	11108944-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mezõgazdaság\, erdõgazdálkodás\, halászat	A	Növénytermesztés\, állattenyésztés\, vadgazdálkodás és kapcsolódó szolgáltatások	1	Gabonaféle (kivéve: rizs)\, hüvelyes növény\, olajos mag termesztése	111	277070000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Baracska	702	2013
ANNAMAJORI KFT.	ANNAMAJORI MEZÕGAZDASÁGI ÉS KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2471 Baracska Annamajor 1.	Gazdasági Társaság	1	11108944-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mezõgazdaság\, erdõgazdálkodás\, halászat	A	Növénytermesztés\, állattenyésztés\, vadgazdálkodás és kapcsolódó szolgáltatások	1	Gabonaféle (kivéve: rizs)\, hüvelyes növény\, olajos mag termesztése	111	277070000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Baracska	702	2012
ANNAMAJORI KFT.	ANNAMAJORI MEZÕGAZDASÁGI ÉS KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2471 Baracska Annamajor 1.	Gazdasági Társaság	1	11108944-2-51	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mezõgazdaság\, erdõgazdálkodás\, halászat	A	Növénytermesztés\, állattenyésztés\, vadgazdálkodás és kapcsolódó szolgáltatások	1	Gabonaféle (kivéve: rizs)\, hüvelyes növény\, olajos mag termesztése	111	277070000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Baracska	702	2015
AK NYOMDA KFT.	AK NYOMDA KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2462 Martonvásár Ady Endre  utca 24.	Gazdasági Társaság	1	11450124-2-07	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Nyomdai és egyéb sokszorosítási tevékenység	18	Nyomás (kivéve: napilap)	1812	30000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Martonvásár	318	2014
AK NYOMDA KFT.	AK NYOMDA KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2462 Martonvásár Ady Endre  utca 24.	Gazdasági Társaság	1	11450124-2-07	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Nyomdai és egyéb sokszorosítási tevékenység	18	Nyomás (kivéve: napilap)	1812	30000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Martonvásár	318	2017
AK NYOMDA KFT.	AK NYOMDA KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2462 Martonvásár Ady Endre  utca 24.	Gazdasági Társaság	1	11450124-2-07	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Nyomdai és egyéb sokszorosítási tevékenység	18	Nyomás (kivéve: napilap)	1812	100000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Martonvásár	318	2013
AK NYOMDA KFT.	AK NYOMDA KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2462 Martonvásár Ady Endre  utca 24.	Gazdasági Társaság	1	11450124-2-07	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Nyomdai és egyéb sokszorosítási tevékenység	18	Nyomás (kivéve: napilap)	1812	30000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Martonvásár	318	2015
AK NYOMDA KFT.	AK NYOMDA KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2462 Martonvásár Ady Endre  utca 24.	Gazdasági Társaság	1	11450124-2-07	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Feldolgozóipar	C	Nyomdai és egyéb sokszorosítási tevékenység	18	Nyomás (kivéve: napilap)	1812	30000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Martonvásár	318	2016
F1 AUTÓMOSÓ KFT.	F1 AUTÓMOSÓ KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	8143 Sárszentmihály Kossuth utca 32.	Gazdasági Társaság	1	13561859-2-07	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Kereskedelem\, gépjármûjavítás	G	Gépjármû-\, motorkerékpár kereskedeleme\, javítása	45	Gépjármûjavítás\, -karbantartás	4520	3000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Sárszentmihály	1019	2013
F1 AUTÓMOSÓ KFT.	F1 AUTÓMOSÓ KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	8143 Sárszentmihály Kossuth utca 32.	Gazdasági Társaság	1	13561859-2-07	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Kereskedelem\, gépjármûjavítás	G	Gépjármû-\, motorkerékpár kereskedeleme\, javítása	45	Gépjármûjavítás\, -karbantartás	4520	3000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Sárszentmihály	1019	2014
